time	V(Vin,Vc)	V(vc)	I(C1)
1.423183107196922e-002	3.366320e+000	3.633680e+000	3.116963e-003
1.433423107196861e-002	3.348634e+000	3.651366e+000	3.100587e-003
1.443663107196800e-002	3.331042e+000	3.668958e+000	3.084298e-003
1.453903107196739e-002	3.313542e+000	3.686458e+000	3.068094e-003
1.464143107196679e-002	3.296134e+000	3.703866e+000	3.051976e-003
1.474383107196618e-002	3.278817e+000	3.721183e+000	3.035941e-003
1.484623107196557e-002	3.261591e+000	3.738409e+000	3.019992e-003
1.494863107196496e-002	3.244456e+000	3.755544e+000	3.004126e-003
1.505103107196435e-002	3.227411e+000	3.772589e+000	2.988343e-003
1.515343107196374e-002	3.210455e+000	3.789545e+000	2.972644e-003
1.525583107196314e-002	3.193588e+000	3.806412e+000	2.957026e-003
1.535823107196253e-002	3.176811e+000	3.823189e+000	2.941491e-003
1.546063107196192e-002	3.160121e+000	3.839879e+000	2.926038e-003
1.556303107196131e-002	3.143518e+000	3.856482e+000	2.910665e-003
1.566543107196071e-002	3.127004e+000	3.872996e+000	2.895374e-003
1.576783107196010e-002	3.110575e+000	3.889425e+000	2.880162e-003
1.587023107195949e-002	3.094234e+000	3.905766e+000	2.865031e-003
1.597263107195888e-002	3.077978e+000	3.922022e+000	2.849979e-003
1.607503107195827e-002	3.061807e+000	3.938193e+000	2.835006e-003
1.617743107195767e-002	3.045721e+000	3.954279e+000	2.820112e-003
1.627983107195706e-002	3.029720e+000	3.970280e+000	2.805297e-003
1.638223107195645e-002	3.013803e+000	3.986197e+000	2.790558e-003
1.648463107195584e-002	2.997970e+000	4.002030e+000	2.775898e-003
1.658703107195523e-002	2.982220e+000	4.017780e+000	2.761314e-003
1.668943107195462e-002	2.966552e+000	4.033448e+000	2.746807e-003
1.679183107195402e-002	2.950967e+000	4.049033e+000	2.732377e-003
1.689423107195341e-002	2.935463e+000	4.064537e+000	2.718022e-003
1.699663107195280e-002	2.920042e+000	4.079958e+000	2.703742e-003
1.709903107195219e-002	2.904701e+000	4.095299e+000	2.689538e-003
1.720143107195158e-002	2.889441e+000	4.110559e+000	2.675408e-003
1.730383107195098e-002	2.874260e+000	4.125740e+000	2.661352e-003
1.740623107195037e-002	2.859160e+000	4.140840e+000	2.647370e-003
1.750863107194976e-002	2.844139e+000	4.155861e+000	2.633462e-003
1.761103107194915e-002	2.829197e+000	4.170803e+000	2.619627e-003
